date,code,field,time,focal_patch,height ,width,leaves_alive,leaves_dead,flower_bud,flower_bloom,flower_dead,flower_seed,wind_t0,wind_t15,wind_t30,wind_t45,wind_t60,wind_bearing,humidity_base,humidity_top,micro_temp,weather_obvs,min_surrounding_veg_height,max_surrounding_veg_height,grazed,f_type,surrounding_veg_type,written
22/09/2023,BC_A_1.1,Broad Cliff A,1,1,0.259,0.23,43,5,0,0,0,0,0,1.3,0,0,0.6,61,70%,71%,18.5,Heavy cloud,0.2,0.3,Ungrazed,SI,Dandelion (Taraxacum spp.) and Alfalfa (Medicago sativa) ,written up 18/10/2023
26/09/2023,BC_A_1.2,Broad Cliff A ,1,2,0.271,0.284,66,0,0,0,0,0,0.6,0,1.2,0,0,152,88%,87%,16.9,Full cloud ,0.1,0.2,Ungrazed,SI,Alfalfa (Medicago sativa) and Broad Leaf Dock (Rumex obstusifolius),written up 09/11/2023
15/08/2023,BC_A_2.1,Broad Cliff A,2,1,0.616,0.175,77,12,1,0,6,2,2.2,0.6,0.6,2.2,0,108,63%,66%,25.7,"Sunny, clear",0.2,0.4,Ungrazed,SI,ElmLeaf blackberry (Rubus ulmifolius) and Bracken (Pteridium aquilinum),written up 20/08/2023
15/08/2023,BC_A_2.2,Broad Cliff A,2,2,0.398,0.289,147,13,9,2,4,6,0,2,2.1,0,0,168,59%,55%,27.8,"Sunny, clear",0.2,0.3,Ungrazed,SI,Broad Leaf Dock (Rumex obtusifolius) and Dandelion (Taraxacum spp.),written up 20/08/2023
13/09/2023,BC_A_2.3,Broad Cliff A,2,3,0.145,0.13,11,0,0,0,0,0,0,0,0,0,0,214,61%,57%,24.3,"Sunny, light cloud",0.1,0.5,Ungrazed,SI,Creeping Buttercup (Ranunculus repens) and Red Clover (Trifolium pratense),written up 28/09/2023
13/09/2023,BC_A_2.4,Broad Cliff A,2,4,0.425,0.228,69,34,0,0,0,0,0,0.6,2.1,0,0,209,51%,54%,24.4,"Sunny, light cloud",0.1,0.4,Ungrazed,SI,Red Clover (Trifolium pratense) and Dandelion (Taraxacum spp.),written up 28/09/2023
13/09/2023,BC_A_2.5,Broad Cliff A,2,5,0.421,0.165,74,23,1,1,0,0,0,0,0,0,0.6,185,56%,50%,23.6,"Sunny, light cloud",0.2,0.5,Ungrazed,SI,Alfalfa (Medicago sativa) and Red Clover (Trifolium pratense),written up 28/09/2023
29/08/2023,BC_A_3.1,Broad Cliff A,3,1,0.275,0.139,44,6,0,0,0,0,3.7,2.5,2.3,2.9,2.3,51,77%,69%,17.6,"Full cloud, high wind",0.1,0.6,Ungrazed,SI,Dandelion (Taraxacum spp.) and Broad Leaf Dock (Rumex obtusifolius),written up 07/09/2023
26/09/2023,BC_A_3.2,Broad Cliff A,3,2,0.152,0.22,35,2,0,0,0,0,0,0,0,0.2,0,135,80%,78%,17.2,"Sunny, cloud",0.05,0.2,Ungrazed,SI,Red Clover (Trifolium pratense) and Dandelion (Taraxacum spp.),written up 09/11/2023
26/09/2023,BC_A_3.3,Broad Cliff A,3,3,0.267,0.369,67,4,0,0,0,0,2.4,2.1,2.5,0,0,120,79%,81%,15.7,Heavy cloud,0.1,0.3,Ungrazed,SI,Creeping Buttercup (Rannunculus repens),written up 09/11/2023
13/09/2023,BC_B_1.1,Broad Cliff B,1,1,0.324,0.318,118,6,0,0,0,0,2,0.6,0,0,0.6,215,63%,57%,22.5,"Sunny, light cloud",0.1,0.4,Ungrazed,SI,White Clover (Trifolium repens) and Alfalfa (Medicago sativa),written up 28/09/2023
