date,code,field,time,focal_patch,order,family,species_name,count,location,time_sampled_mins,time_sampled_secs,feeding,niche,current_dispersal,voltinism ,stage,size,Parasitised ,notes,pic_obs_samp,Written
22/09/2023,BC_A_1.1,Broad Cliff A,1,1,Araneae,,,0,,,,,,,,,,,,,written up 25/03/2024
22/09/2023,BC_A_1.1,Broad Cliff A,1,1,Collembola,,,0,,,,,,,,,,,,,written up 25/03/2024
22/09/2023,BC_A_1.1,Broad Cliff A,1,1,Coleoptera,,,0,,,,,,,,,,,,,written up 25/03/2024
22/09/2023,BC_A_1.1,Broad Cliff A,1,1,Hymenoptera,,,0,,,,,,,,,,,,,written up 25/03/2024
22/09/2023,BC_A_1.1,Broad Cliff A,1,1,Acari,Tetranychidae ,"Tetranychidae sp. (Donnadieu, 1875) ",2,Underside leaf,2,10,Biting/Sucking,Herbivore ,Walk,Multivoltine,Adult,XS,N,,Sampled,written up 23/10/2023
22/09/2023,BC_A_1.1,Broad Cliff A,1,1,Diptera,Drosophilidae,"Drosophilidae sp. (Rondani, 1856) (Morpho 1)",4,Rossette,13,12,Sponging,Herbivore,Fly,Multivoltine,Adult,S,N,,Sampled,written up 18/10/2023
22/09/2023,BC_A_1.1,Broad Cliff A,1,1,Hemiptera ,Aphidae,"Capitophorus sp. (van der Goot, 1913) (Morpho 1)",11,Underside leaf,8,27,Piercing/Sucking,Herbivore ,Walk,Multivoltine,Both,S,N,,Observation,written up 23/10/2023
22/09/2023,BC_A_1.1,Broad Cliff A,1,1,Hemiptera ,Aphrophoridae ,"Aphrophoridae sp. (Amyot & Serville, 1843)",1,Underside leaf,2,30,Piercing/Sucking ,Herbivore,Fly,Facultative,Adult,S,N,,Sampled,written up 23/10/2023
22/09/2023,BC_A_1.1,Broad Cliff A,1,1,Lepidoptera ,,"Lepidoptera sp. (Linnaeus, 1758)",1,Underside leaf,6,16,Biting/Chewing,,Walk,,Juvenile,M,N,,Sampled,written up 23/10/2023
22/09/2023,BC_A_1.1,Broad Cliff A,1,1,Orthoptera ,Acrididae,"Chorthippus parallelus (Zetterstedt, 1821)",1,Leaf near top ,14,59,Biting/Chewing,Herbivore,Hop,Univoltine ,Adult,XL,N,,Sampled,written up 18/10/2023
22/09/2023,BC_A_1.1,Broad Cliff A,1,1,Thysanoptera,Thripidae ,"Thripidae sp. (Stephens, 1829) (Morpho 1)",5,Leaf,3,16,Biting/Chewing,Herbivore ,Fly,Multivoltine ,Adult,XS,N,,Sampled,written up 23/10/2023
22/09/2023,BC_A_1.1,Broad Cliff A,1,1,Diptera,Agromyzidae,"Agromyzidae sp. (Fallén, 1823) (Mine)",1,Leaf,12,40,Scraping,Herbivore,Walk,Bivoltine,Juvenile,S,N,,Pictured,written up 23/10/2023
26/09/2023,BC_A_1.2,Broad Cliff B ,1,2,Araneae,Theridiidae,"Theridiidae sp. (Sundevall, 1833) ",1,Underside leaf,11,15,Biting/Sucking,Predator,Walk,Univoltine ,Adult,S,N,,Sampled,written up 20/11/2023
26/09/2023,BC_A_1.2,Broad Cliff B ,1,2,Coleoptera,Curculionidae,"Ceutorhynchus litura (Fabricius, 1775)",1,Underside leaf,12,50,Biting/Chewing,Herbivore,Fly,Univoltine ,Adult,M,N,,Sampled,written up 20/11/2023
